Attrition,Age,BusinessTravel,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
No,38,Travel_Rarely,1,4,2,Sales Executive,1,Divorced,5605,Yes,1,8,3,8,0,7
No,26,Travel_Frequently,3,3,2,Manufacturing Director,2,Divorced,6397,No,1,6,1,6,5,4
No,50,Travel_Rarely,1,3,5,Research Director,2,Divorced,19144,No,2,28,2,10,4,6
No,53,Travel_Rarely,3,3,4,Research Director,3,Married,17584,Yes,3,21,2,5,3,3
No,42,Travel_Rarely,2,3,2,Sales Executive,3,Married,4907,No,0,20,3,20,16,6
No,29,Travel_Frequently,2,3,2,Sales Executive,4,Single,4554,No,0,10,2,10,7,9
No,55,Travel_Rarely,2,3,2,Laboratory Technician,4,Married,5415,Yes,1,12,3,10,7,8
No,26,Travel_Frequently,1,3,2,Healthcare Representative,1,Married,4741,Yes,1,5,3,5,3,3
No,37,Travel_Rarely,4,3,1,Research Scientist,4,Single,2115,No,0,17,3,17,12,7
Yes,44,Travel_Frequently,4,3,1,Laboratory Technician,3,Divorced,3161,Yes,1,19,1,1,0,0
No,38,Travel_Rarely,4,3,2,Healthcare Representative,4,Divorced,5745,No,1,10,3,2,2,2
Yes,26,Travel_Rarely,1,3,1,Laboratory Technician,2,Divorced,2373,Yes,1,5,3,3,2,2
No,28,Travel_Rarely,4,3,1,Research Scientist,4,Single,3310,No,0,5,3,5,3,2
No,49,Travel_Frequently,3,3,5,Research Director,1,Single,18665,Yes,0,22,3,3,2,2
No,36,Travel_Rarely,3,3,2,Research Scientist,2,Single,4485,No,0,10,3,8,0,7
No,31,Travel_Frequently,4,3,1,Sales Representative,2,Divorced,2789,No,1,2,2,2,2,2
Yes,26,Travel_Rarely,4,2,2,Sales Executive,4,Single,5828,Yes,0,8,3,8,7,4
No,37,Travel_Frequently,2,3,1,Research Scientist,4,Married,2326,Yes,3,4,2,4,2,2
No,42,Travel_Frequently,3,3,4,Sales Executive,2,Married,13525,No,1,23,4,20,4,8
Yes,18,Travel_Rarely,3,3,1,Laboratory Technician,3,Single,1420,No,0,0,3,0,0,0
No,35,Travel_Rarely,3,3,3,Sales Executive,2,Married,8020,No,2,12,2,11,9,9
No,36,Travel_Frequently,3,4,1,Laboratory Technician,4,Married,3688,No,2,4,3,1,0,0
No,51,Travel_Rarely,4,1,2,Manufacturing Director,2,Divorced,5482,No,1,13,3,4,1,2
No,41,Travel_Rarely,4,3,4,Manager,2,Single,16015,No,0,22,3,22,10,4
No,18,Travel_Rarely,4,2,1,Sales Representative,3,Single,1200,No,0,0,3,0,0,0
No,28,Travel_Rarely,2,4,2,Healthcare Representative,1,Single,5661,No,0,9,3,8,3,7
No,31,Travel_Rarely,2,4,2,Sales Executive,4,Married,6929,No,1,10,2,8,7,7
No,39,Travel_Rarely,3,4,3,Healthcare Representative,4,Divorced,9613,No,3,19,2,18,10,7
No,36,Non-Travel,2,3,2,Laboratory Technician,2,Married,5674,No,1,11,3,9,8,8
No,32,Travel_Rarely,4,2,2,Sales Executive,3,Married,5484,No,1,13,2,13,8,8
No,38,Travel_Rarely,1,2,3,Research Director,2,Married,12061,No,1,19,3,10,8,1
No,58,Non-Travel,4,1,2,Healthcare Representative,3,Divorced,5660,Yes,1,12,3,5,3,2
No,31,Travel_Rarely,3,3,1,Research Scientist,4,Married,4821,Yes,1,6,3,5,2,3
No,31,Travel_Rarely,1,2,2,Human Resources,1,Married,6410,No,0,9,3,2,2,0
No,45,Travel_Frequently,1,3,3,Laboratory Technician,1,Divorced,5210,No,1,24,3,24,9,11
No,31,Travel_Rarely,3,3,1,Research Scientist,4,Divorced,2695,Yes,1,3,1,2,2,2
No,33,Travel_Frequently,4,3,3,Manager,2,Married,11878,No,2,12,3,10,6,8
No,39,Travel_Rarely,3,3,4,Manager,1,Married,17068,Yes,0,21,3,21,9,10
No,43,Travel_Frequently,3,3,1,Laboratory Technician,4,Single,2455,No,0,9,3,8,7,7
No,49,Travel_Rarely,3,2,4,Healthcare Representative,3,Single,13964,Yes,0,25,3,7,1,7
Yes,52,Travel_Rarely,3,2,2,Research Scientist,2,Married,4941,No,0,11,2,8,2,7
No,27,Travel_Rarely,3,3,1,Research Scientist,2,Single,2478,Yes,0,4,2,4,3,2
No,32,Travel_Rarely,3,2,2,Sales Executive,2,Married,5228,Yes,0,13,3,13,12,9
No,27,Travel_Rarely,4,3,2,Sales Executive,3,Single,4478,Yes,0,5,3,5,4,4
No,31,Travel_Rarely,4,3,2,Sales Executive,4,Divorced,7547,No,3,13,3,7,7,7
No,32,Travel_Rarely,1,4,2,Research Scientist,4,Single,5055,No,0,10,2,7,7,7
Yes,28,Travel_Rarely,1,1,1,Research Scientist,4,Married,3464,Yes,0,5,2,3,2,2
No,30,Travel_Rarely,4,3,2,Research Scientist,4,Married,5775,No,2,11,3,10,8,9
No,31,Travel_Frequently,3,2,3,Manufacturing Director,3,Married,8943,No,1,10,3,10,9,9
No,39,Travel_Frequently,3,2,5,Manager,4,Married,19272,No,1,21,3,21,9,3
Yes,39,Travel_Rarely,4,3,2,Sales Executive,3,Married,5238,Yes,0,12,2,1,0,0
No,33,Travel_Frequently,2,2,2,Sales Executive,4,Single,4682,No,0,9,2,7,7,1
No,47,Travel_Rarely,4,3,5,Research Director,3,Married,18300,No,1,21,3,3,2,1
No,43,Travel_Frequently,3,2,2,Laboratory Technician,3,Divorced,5257,No,1,9,4,9,7,0
No,27,Non-Travel,3,3,2,Sales Executive,2,Married,6349,Yes,1,6,3,5,4,4
No,54,Travel_Frequently,4,3,2,Research Scientist,3,Single,4869,No,0,20,2,4,3,3
No,43,Travel_Rarely,3,3,3,Healthcare Representative,1,Married,9985,No,1,10,2,1,0,0
No,45,Travel_Rarely,4,3,2,Research Scientist,4,Married,3697,No,2,12,3,10,9,8
No,40,Travel_Rarely,2,1,2,Sales Executive,4,Married,7457,Yes,3,6,2,4,3,2
Yes,29,Travel_Rarely,2,1,1,Laboratory Technician,1,Married,2119,Yes,0,7,2,7,7,7
No,29,Travel_Rarely,2,2,1,Laboratory Technician,4,Single,3983,No,0,4,3,3,2,2
No,30,Travel_Rarely,4,2,2,Sales Executive,3,Divorced,6118,No,3,10,3,10,9,2
No,27,Travel_Rarely,2,3,2,Sales Executive,2,Married,6214,No,1,8,3,8,7,7
No,37,Travel_Rarely,4,3,2,Manufacturing Director,4,Divorced,6347,No,2,8,2,6,2,4
No,38,Travel_Rarely,3,2,3,Research Director,4,Divorced,11510,Yes,1,12,3,11,10,9
No,31,Travel_Rarely,3,3,3,Manufacturing Director,4,Single,7143,Yes,0,11,2,11,9,10
No,29,Travel_Rarely,4,2,2,Sales Executive,2,Divorced,8268,Yes,2,7,3,7,7,7
No,35,Travel_Rarely,3,3,3,Manufacturing Director,2,Single,8095,No,0,17,3,16,6,13
No,23,Travel_Rarely,3,3,1,Research Scientist,4,Divorced,2904,No,2,4,2,4,2,2
No,41,Travel_Rarely,4,2,2,Manufacturing Director,2,Single,6032,Yes,0,8,3,5,4,2
No,47,Travel_Frequently,2,3,2,Sales Representative,3,Single,2976,No,0,5,3,0,0,0
No,42,Travel_Rarely,1,3,4,Research Director,4,Single,15992,No,0,16,3,1,0,0
No,29,Non-Travel,4,3,2,Sales Executive,3,Married,4649,No,1,4,2,4,3,2
No,42,Travel_Rarely,3,3,1,Human Resources,3,Divorced,2696,Yes,1,4,3,3,2,0
No,32,Travel_Rarely,3,3,1,Laboratory Technician,2,Married,2370,No,1,8,3,8,0,7
No,48,Travel_Rarely,1,3,3,Manager,3,Married,12504,No,1,15,1,0,0,0
No,37,Travel_Rarely,3,4,2,Research Scientist,1,Divorced,5974,Yes,2,13,3,7,7,7
No,30,Non-Travel,4,3,2,Sales Executive,3,Married,4736,Yes,1,4,4,2,2,2
No,26,Travel_Rarely,3,3,2,Sales Executive,3,Married,5296,No,1,8,3,8,7,7
No,42,Travel_Rarely,1,2,2,Healthcare Representative,4,Single,6781,No,0,14,3,1,0,0
Yes,21,Travel_Frequently,1,2,1,Sales Representative,2,Single,2174,Yes,0,3,3,3,2,2
No,36,Non-Travel,4,3,2,Sales Executive,4,Single,6653,No,0,7,3,1,0,0
No,36,Travel_Frequently,1,2,3,Sales Executive,4,Married,9699,No,1,16,3,13,9,12
No,57,Travel_Rarely,4,3,2,Healthcare Representative,3,Married,6755,No,0,15,3,3,2,2
No,40,Travel_Rarely,4,4,1,Laboratory Technician,3,Married,2213,Yes,1,10,3,7,7,7
No,21,Non-Travel,1,3,1,Sales Representative,4,Single,2610,No,0,3,2,3,2,2
Yes,33,Travel_Rarely,4,3,1,Sales Representative,3,Single,2851,Yes,0,1,3,1,0,0
No,37,Travel_Rarely,3,3,1,Laboratory Technician,1,Married,3452,No,1,17,3,5,4,3
No,46,Non-Travel,3,3,2,Manufacturing Director,3,Married,5258,No,0,7,4,1,0,0
Yes,41,Travel_Frequently,1,3,2,Sales Executive,2,Single,9355,No,0,8,3,8,7,7
No,50,Travel_Rarely,4,2,3,Healthcare Representative,4,Single,10496,No,0,20,3,4,3,3
Yes,40,Travel_Rarely,3,2,2,Sales Executive,3,Married,6380,Yes,2,8,3,6,4,0
No,31,Travel_Rarely,3,2,1,Research Scientist,2,Single,2657,Yes,0,3,3,2,2,2
Yes,21,Travel_Rarely,3,4,1,Sales Representative,2,Single,2716,No,0,1,3,1,0,0
No,29,Travel_Rarely,4,3,1,Research Scientist,4,Single,2201,No,0,6,3,3,2,2
No,35,Travel_Rarely,3,2,2,Healthcare Representative,2,Single,6540,No,0,10,3,1,1,0
No,27,Travel_Rarely,4,3,1,Laboratory Technician,2,Divorced,3816,No,1,5,3,5,2,4
No,28,Travel_Rarely,2,3,2,Sales Executive,4,Single,5253,No,0,7,3,7,5,7
No,49,Travel_Rarely,2,2,3,Healthcare Representative,3,Single,10965,No,0,26,3,5,2,0
No,51,Travel_Rarely,3,3,2,Sales Executive,4,Married,4936,No,1,18,2,7,7,7
No,36,Travel_Rarely,4,3,1,Research Scientist,3,Married,2543,No,1,6,3,2,2,2
Yes,34,Non-Travel,1,4,2,Sales Executive,4,Single,5304,Yes,0,9,2,5,2,4
No,55,Travel_Rarely,3,3,4,Manager,4,Single,16659,Yes,0,30,3,5,4,2
No,24,Travel_Rarely,4,3,2,Sales Executive,3,Divorced,4260,Yes,1,5,4,5,2,3
No,30,Travel_Rarely,3,3,1,Sales Representative,2,Married,2476,No,1,1,3,1,0,0
Yes,26,Travel_Frequently,3,3,1,Research Scientist,1,Single,3102,No,0,7,3,6,4,4
No,22,Travel_Rarely,1,3,1,Research Scientist,2,Married,2244,No,1,2,3,2,1,2
No,36,Travel_Rarely,2,2,3,Sales Executive,3,Married,7596,No,2,10,3,10,9,0
Yes,30,Travel_Frequently,3,3,1,Research Scientist,4,Single,2285,Yes,0,3,3,1,0,0
No,37,Travel_Rarely,4,3,1,Laboratory Technician,1,Divorced,3034,No,1,18,2,18,7,17
No,40,Travel_Rarely,4,3,2,Sales Executive,2,Divorced,5715,No,2,8,3,5,4,3
No,42,Travel_Rarely,2,3,1,Laboratory Technician,1,Divorced,2576,No,1,8,3,5,2,2
No,37,Travel_Rarely,3,3,2,Manufacturing Director,2,Single,4197,Yes,0,18,2,1,0,1
No,43,Travel_Rarely,1,2,4,Research Director,2,Divorced,14336,No,1,25,3,25,10,9
No,40,Travel_Rarely,2,2,2,Laboratory Technician,3,Married,3448,No,1,20,3,1,0,0
No,54,Travel_Rarely,1,3,5,Research Director,1,Married,19406,No,1,24,2,4,2,2
No,34,Non-Travel,3,3,2,Sales Executive,3,Married,6538,No,1,6,3,3,2,2
No,31,Travel_Rarely,2,3,2,Manufacturing Director,1,Married,4306,No,1,13,1,13,10,12
No,43,Travel_Frequently,4,3,1,Laboratory Technician,4,Married,2258,No,1,8,3,3,2,2
No,43,Travel_Rarely,3,3,2,Healthcare Representative,3,Divorced,4522,Yes,0,8,3,5,2,2
No,25,Travel_Rarely,2,2,2,Sales Executive,4,Single,4487,Yes,0,5,3,5,4,3
No,37,Non-Travel,2,3,2,Research Scientist,3,Married,4449,Yes,2,15,3,13,11,7
No,31,Travel_Rarely,4,2,1,Laboratory Technician,1,Married,2218,No,1,4,3,4,2,2
No,39,Travel_Frequently,2,3,5,Manager,3,Divorced,19197,Yes,1,21,3,21,8,6
No,56,Travel_Frequently,3,4,4,Sales Executive,1,Married,13212,No,3,36,2,7,7,7
No,30,Travel_Rarely,2,3,2,Sales Executive,3,Single,6577,No,0,6,3,5,4,4
No,41,Travel_Rarely,2,4,3,Sales Executive,1,Married,8392,No,1,10,3,10,7,7
No,28,Travel_Rarely,3,3,2,Laboratory Technician,1,Divorced,4558,No,1,10,3,10,0,8
Yes,25,Travel_Rarely,1,3,1,Laboratory Technician,1,Married,4031,No,1,6,3,2,2,2
No,52,Travel_Rarely,4,2,3,Manufacturing Director,3,Married,7969,Yes,0,28,3,5,4,4
No,45,Travel_Rarely,1,3,1,Research Scientist,4,Married,2654,No,2,8,2,2,2,2
No,52,Travel_Rarely,4,3,4,Manager,4,Married,16555,No,0,31,1,5,2,4
No,42,Travel_Frequently,1,3,2,Research Scientist,3,Divorced,4556,No,1,19,3,5,4,2
No,30,Travel_Rarely,3,1,2,Manufacturing Director,4,Single,6091,No,0,11,3,5,4,2
No,60,Travel_Rarely,1,3,5,Manager,1,Married,19566,No,0,33,1,29,8,10
No,46,Travel_Rarely,3,3,2,Manufacturing Director,3,Divorced,4810,No,1,19,2,10,7,8
No,42,Travel_Frequently,4,2,2,Healthcare Representative,4,Married,4523,No,3,7,4,6,5,4
Yes,24,Travel_Rarely,1,3,1,Sales Representative,2,Single,3202,Yes,0,6,3,5,3,4
Yes,34,Travel_Frequently,4,1,1,Sales Representative,3,Divorced,2351,No,1,3,2,2,2,0
No,38,Travel_Frequently,4,3,1,Laboratory Technician,4,Married,1702,Yes,1,1,3,1,0,0
No,40,Travel_Rarely,3,3,5,Manager,3,Married,18041,No,0,21,3,20,15,12
No,26,Travel_Rarely,1,3,1,Research Scientist,4,Divorced,2886,No,2,3,1,3,2,2
No,30,Non-Travel,3,3,1,Laboratory Technician,4,Married,2097,No,1,9,1,5,3,4
No,29,Travel_Rarely,2,2,3,Research Director,3,Married,11935,No,0,10,3,10,2,7
Yes,29,Travel_Rarely,3,2,1,Research Scientist,2,Married,2546,No,0,6,4,2,2,1
Yes,19,Travel_Rarely,1,2,1,Human Resources,4,Single,2564,No,0,1,4,1,0,0
No,30,Non-Travel,3,3,3,Sales Executive,1,Married,8412,No,0,10,3,9,8,8
No,57,Travel_Rarely,1,2,4,Manager,4,Divorced,14118,No,1,32,2,1,0,0
No,50,Travel_Rarely,2,2,4,Manager,3,Married,17046,No,1,28,3,27,10,7
No,30,Non-Travel,3,3,1,Laboratory Technician,4,Single,2564,No,0,12,2,11,7,7
No,60,Travel_Frequently,3,2,3,Sales Executive,1,Married,10266,No,0,22,4,18,13,11
No,47,Travel_Rarely,1,3,2,Manufacturing Director,4,Divorced,5070,No,3,20,3,5,0,4
No,46,Travel_Rarely,1,3,4,Research Director,3,Married,17861,No,0,26,1,3,2,1
No,35,Travel_Rarely,4,1,1,Laboratory Technician,3,Single,4230,No,0,6,3,5,4,3
No,54,Travel_Rarely,3,3,2,Laboratory Technician,3,Single,3780,No,0,19,3,1,0,0
No,34,Travel_Rarely,4,2,1,Research Scientist,3,Divorced,2768,No,1,14,3,7,3,7
No,46,Travel_Rarely,3,2,3,Sales Executive,4,Married,9071,Yes,1,15,3,3,2,2
No,31,Travel_Rarely,3,3,3,Manufacturing Director,2,Divorced,10648,No,1,13,4,13,8,8
Yes,33,Travel_Rarely,2,3,3,Manager,3,Married,13610,Yes,0,15,4,7,6,7
Yes,33,Travel_Rarely,1,1,1,Laboratory Technician,4,Divorced,3408,No,3,8,3,4,3,3
No,30,Travel_Rarely,4,3,1,Sales Representative,2,Single,2983,No,0,4,3,3,2,2
No,35,Travel_Rarely,4,3,3,Healthcare Representative,3,Married,7632,Yes,0,10,3,8,7,0
Yes,31,Travel_Frequently,1,3,3,Healthcare Representative,3,Married,9824,No,0,12,3,1,0,0
Yes,34,Travel_Frequently,2,3,3,Human Resources,1,Divorced,9950,Yes,3,11,3,3,2,2
No,42,Travel_Frequently,2,3,1,Laboratory Technician,3,Married,2093,No,1,8,3,2,2,0
No,36,Non-Travel,2,3,3,Sales Executive,4,Single,9980,No,0,10,2,10,3,7
Yes,22,Travel_Frequently,3,2,1,Laboratory Technician,3,Single,3894,No,0,4,3,2,2,2
No,48,Travel_Rarely,2,3,2,Sales Executive,4,Married,4051,No,1,14,3,9,7,7
No,55,Travel_Rarely,1,3,4,Manager,2,Single,16835,No,0,37,3,10,9,7
No,41,Non-Travel,4,3,2,Sales Executive,4,Single,6230,No,0,16,3,14,3,10
No,35,Travel_Rarely,2,3,2,Sales Executive,3,Married,4717,No,0,15,3,11,9,9
No,40,Travel_Rarely,2,3,4,Manufacturing Director,3,Single,13237,No,0,22,3,20,6,13
No,39,Travel_Frequently,3,3,1,Laboratory Technician,3,Married,3755,No,1,8,3,8,3,7
No,31,Travel_Rarely,2,3,2,Sales Executive,4,Single,6582,Yes,0,10,4,6,5,5
No,42,Travel_Rarely,4,3,3,Manufacturing Director,1,Married,7406,Yes,1,10,2,10,9,8
No,45,Travel_Rarely,4,3,2,Sales Executive,2,Married,4805,No,1,9,4,8,7,7
Yes,26,Travel_Frequently,2,3,1,Human Resources,3,Divorced,2741,Yes,1,8,2,7,7,0
No,29,Travel_Rarely,4,3,2,Manufacturing Director,4,Divorced,4262,No,2,8,4,3,2,2
No,33,Travel_Rarely,1,4,4,Research Director,3,Divorced,16184,No,1,10,3,6,1,5
No,31,Travel_Rarely,3,2,3,Manager,4,Divorced,11557,No,1,10,2,5,4,1
Yes,18,Travel_Frequently,2,3,1,Sales Representative,2,Single,1878,Yes,0,0,3,0,0,0
No,40,Non-Travel,3,1,3,Sales Executive,1,Divorced,10932,No,1,20,3,1,0,1
No,41,Non-Travel,1,2,2,Healthcare Representative,3,Single,6811,Yes,0,10,3,8,7,7
No,26,Travel_Rarely,1,3,2,Sales Executive,3,Divorced,4306,No,2,8,3,0,0,0
No,35,Travel_Rarely,1,3,2,Sales Executive,3,Single,4859,No,0,5,3,5,4,3
No,34,Travel_Rarely,4,4,2,Sales Executive,4,Single,5337,No,0,10,3,10,7,7
Yes,26,Travel_Rarely,3,1,1,Laboratory Technician,4,Single,2340,Yes,0,1,1,1,0,0
No,37,Travel_Rarely,2,3,3,Manufacturing Director,4,Single,7491,No,0,12,4,6,5,2
No,46,Travel_Frequently,1,3,3,Healthcare Representative,3,Married,10527,No,0,28,2,2,2,2
No,41,Travel_Rarely,2,3,4,Manager,1,Married,16595,No,1,22,3,18,16,8
No,37,Non-Travel,1,3,3,Sales Executive,2,Divorced,8834,No,1,9,3,9,5,7
No,52,Travel_Rarely,4,3,2,Research Scientist,1,Divorced,5577,Yes,2,18,3,10,9,9
Yes,32,Non-Travel,4,4,2,Sales Executive,3,Married,4707,No,0,6,3,4,2,2
No,24,Travel_Frequently,4,3,1,Sales Representative,4,Married,2400,No,2,3,3,2,2,1
No,38,Travel_Rarely,3,3,2,Healthcare Representative,3,Married,9824,No,1,18,3,1,0,0
No,37,Travel_Rarely,2,3,2,Manufacturing Director,2,Married,6447,No,1,8,2,6,5,3
No,49,Travel_Rarely,4,2,5,Research Director,3,Divorced,19502,Yes,1,31,3,31,9,9
No,24,Travel_Rarely,2,4,1,Research Scientist,4,Married,2725,Yes,2,6,3,6,5,4
No,26,Travel_Rarely,1,3,2,Sales Executive,2,Married,6272,No,2,6,4,5,3,4
No,24,Travel_Rarely,4,2,1,Laboratory Technician,2,Married,2127,No,1,1,3,1,0,0
No,50,Travel_Frequently,1,3,5,Manager,2,Married,18200,No,1,32,3,32,5,7
No,25,Travel_Rarely,2,3,1,Sales Representative,3,Married,2096,No,0,7,3,7,4,6
Yes,24,Travel_Frequently,1,3,1,Laboratory Technician,3,Married,2886,Yes,1,6,3,6,3,2
Yes,30,Travel_Frequently,2,2,1,Sales Representative,1,Married,2033,No,1,1,4,1,0,0
No,34,Travel_Rarely,2,2,1,Research Scientist,4,Married,3622,Yes,1,6,3,6,5,3
Yes,31,Travel_Rarely,2,3,2,Sales Executive,1,Divorced,4233,No,0,9,1,3,1,2
No,35,Travel_Rarely,1,2,2,Laboratory Technician,4,Single,3681,No,0,9,3,3,2,2
No,31,Travel_Rarely,1,4,2,Sales Executive,4,Divorced,5460,No,2,13,4,7,7,7
No,27,Travel_Rarely,1,2,1,Research Scientist,3,Divorced,2187,No,2,6,2,5,3,3
No,37,Travel_Rarely,4,3,2,Sales Executive,3,Married,9602,Yes,1,17,2,3,0,0
No,20,Travel_Rarely,4,2,1,Research Scientist,2,Single,2836,No,0,1,4,1,0,0
No,42,Travel_Rarely,3,3,2,Healthcare Representative,4,Married,4089,No,2,10,3,10,2,2
No,43,Travel_Rarely,2,2,4,Research Director,4,Divorced,16627,Yes,1,21,2,1,0,0
No,38,Travel_Rarely,3,3,1,Research Scientist,1,Single,2619,No,0,8,2,0,0,0
No,43,Travel_Frequently,4,3,2,Laboratory Technician,3,Divorced,5679,Yes,1,10,3,8,7,7
No,48,Travel_Rarely,4,2,4,Manager,1,Married,15402,No,1,21,1,3,2,2
No,44,Travel_Rarely,1,2,2,Human Resources,3,Single,5985,No,0,10,4,2,2,2
No,34,Travel_Rarely,3,3,1,Sales Representative,3,Divorced,2579,Yes,2,8,3,8,2,6
Yes,27,Travel_Rarely,3,3,1,Sales Representative,1,Divorced,3041,No,1,5,3,4,3,2
No,21,Travel_Rarely,3,3,1,Sales Representative,3,Single,3447,No,0,3,3,3,2,2
No,44,Travel_Rarely,4,3,5,Manager,4,Married,19513,Yes,1,26,4,2,2,1
No,22,Travel_Rarely,1,3,1,Research Scientist,3,Married,2773,No,0,3,3,2,2,2
No,33,Travel_Rarely,3,3,2,Sales Executive,3,Divorced,7104,No,0,6,3,5,0,2
No,32,Travel_Rarely,1,3,2,Research Scientist,4,Married,6322,Yes,1,6,2,6,4,5
No,30,Travel_Frequently,3,3,1,Research Scientist,3,Divorced,2083,No,1,1,3,1,0,0
No,53,Travel_Rarely,4,3,2,Sales Executive,1,Single,8381,No,0,18,4,14,7,10
No,34,Travel_Rarely,2,3,1,Research Scientist,4,Married,2691,No,1,10,2,10,9,8
Yes,45,Travel_Frequently,1,3,2,Sales Executive,1,Married,4286,No,2,5,3,1,1,0
No,26,Travel_Rarely,3,3,1,Laboratory Technician,4,Married,2659,Yes,1,3,3,3,2,2
No,37,Travel_Rarely,3,3,3,Manufacturing Director,3,Married,9434,No,1,10,3,10,7,8
No,29,Travel_Rarely,2,3,2,Sales Executive,3,Married,5561,No,1,6,2,6,0,2
No,35,Travel_Rarely,2,1,2,Research Scientist,4,Single,6646,No,0,17,3,17,11,8
No,33,Travel_Frequently,3,3,2,Healthcare Representative,4,Divorced,7725,No,1,15,1,13,11,7
No,54,Travel_Rarely,3,3,3,Human Resources,2,Married,10725,No,1,16,4,9,7,1
No,36,Travel_Rarely,2,2,2,Manufacturing Director,2,Divorced,8847,Yes,1,13,3,3,2,2
No,27,Travel_Rarely,1,2,1,Research Scientist,4,Single,2045,No,0,5,3,4,2,1
Yes,20,Travel_Rarely,4,3,1,Research Scientist,3,Single,1009,Yes,0,1,3,1,0,1
Yes,33,Travel_Frequently,1,3,1,Research Scientist,1,Single,3348,Yes,0,10,3,10,8,7
No,35,Non-Travel,3,2,1,Laboratory Technician,3,Married,1281,No,2,1,3,1,0,0
No,23,Travel_Rarely,1,4,1,Research Scientist,1,Married,2819,No,1,5,4,3,2,2
No,25,Travel_Rarely,4,4,2,Sales Executive,2,Married,4851,No,1,4,3,3,2,2
No,38,Travel_Rarely,4,2,2,Sales Executive,4,Single,4028,No,0,8,3,7,7,5
No,29,Travel_Frequently,2,1,1,Research Scientist,4,Divorced,2720,No,1,10,3,10,7,8
No,48,Travel_Rarely,2,4,2,Sales Executive,2,Married,8120,No,0,12,3,2,2,2
No,27,Travel_Frequently,4,4,2,Sales Executive,4,Divorced,4647,Yes,2,6,3,6,5,4
No,37,Travel_Rarely,4,4,1,Research Scientist,4,Single,4680,No,0,4,3,1,0,0
No,50,Travel_Rarely,4,4,1,Laboratory Technician,3,Married,3221,Yes,3,20,3,20,8,8
No,34,Travel_Rarely,4,2,3,Healthcare Representative,2,Single,8621,No,0,9,4,8,7,7
Yes,24,Travel_Rarely,1,3,2,Sales Executive,3,Single,4577,No,0,4,3,2,2,0
No,39,Travel_Rarely,4,2,2,Healthcare Representative,3,Single,4553,No,0,20,3,20,7,10
No,32,Travel_Rarely,4,3,2,Sales Executive,4,Single,5396,No,0,10,2,10,7,8
Yes,50,Travel_Frequently,2,3,2,Sales Executive,3,Married,6796,Yes,1,18,3,4,3,3
No,38,Travel_Rarely,2,4,2,Healthcare Representative,4,Single,7625,No,0,10,2,9,7,8
No,27,Travel_Rarely,3,3,3,Manufacturing Director,1,Married,7412,No,0,9,3,9,7,7
No,32,Travel_Rarely,3,3,3,Research Director,4,Single,11159,No,0,10,3,7,7,7
No,47,Travel_Rarely,4,3,2,Sales Executive,1,Single,4960,No,0,20,3,7,7,7
No,40,Travel_Frequently,4,2,3,Sales Executive,1,Married,10475,Yes,1,20,3,18,13,12
No,53,Travel_Rarely,3,4,4,Research Director,3,Married,14814,No,0,32,3,5,1,3
No,41,Travel_Rarely,2,2,5,Manager,4,Divorced,19141,No,3,23,2,21,6,6
No,60,Travel_Rarely,1,3,2,Sales Executive,1,Single,5405,No,0,10,3,2,2,2
No,27,Travel_Frequently,4,3,3,Manufacturing Director,1,Divorced,8793,No,2,9,2,9,7,7
No,41,Travel_Rarely,4,2,5,Manager,3,Married,19189,No,1,22,3,22,7,10
No,50,Travel_Rarely,4,3,1,Sales Representative,2,Married,3875,No,1,4,3,2,2,2
Yes,28,Travel_Rarely,1,1,1,Research Scientist,2,Single,2216,Yes,0,10,3,7,7,7
No,36,Non-Travel,1,4,3,Research Director,1,Married,11713,No,1,10,3,8,7,5
No,38,Travel_Rarely,3,3,3,Manufacturing Director,3,Single,7861,Yes,0,10,4,1,0,0
No,44,Non-Travel,1,1,1,Laboratory Technician,3,Single,3708,No,0,9,3,5,2,4
No,47,Travel_Frequently,4,3,4,Sales Executive,3,Divorced,13770,Yes,2,28,2,22,2,13
No,30,Travel_Rarely,3,3,2,Sales Executive,4,Divorced,5304,No,1,10,2,8,7,7
No,29,Travel_Rarely,3,3,1,Sales Representative,3,Single,2642,No,0,1,3,1,0,0
Yes,42,Travel_Frequently,3,4,1,Research Scientist,3,Divorced,2759,Yes,0,7,3,2,2,2
No,43,Travel_Frequently,4,2,2,Sales Executive,4,Married,6804,No,1,7,3,2,2,2
No,34,Travel_Rarely,2,3,2,Healthcare Representative,3,Single,6142,No,0,10,3,5,1,3
No,23,Travel_Rarely,2,3,1,Laboratory Technician,1,Married,2500,No,1,5,4,4,3,2
No,39,Travel_Rarely,3,4,2,Human Resources,2,Married,6389,No,1,12,1,8,3,6
No,56,Travel_Rarely,3,3,4,Healthcare Representative,4,Married,11103,No,0,30,2,10,7,1
No,40,Travel_Rarely,4,2,1,Research Scientist,4,Single,2342,Yes,0,5,2,4,2,3
No,27,Travel_Rarely,4,2,2,Healthcare Representative,1,Single,6811,No,0,9,1,7,6,7
No,29,Travel_Rarely,4,3,1,Sales Representative,2,Divorced,2297,No,2,2,3,2,2,2
No,53,Travel_Rarely,4,3,2,Laboratory Technician,4,Single,2450,No,0,19,3,2,2,2
